brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
mahindra,thar,manual,4.0,diesel,2184.0,11003.0,1.0,1231000.0,,,,,
hyundai,verna,manual,6.0,petrol,1591.0,66936.0,1.0,786000.0,,,,,
tata,harrier,manual,2.0,diesel,1956.0,27990.0,1.0,1489000.0,,,,,
honda,city,automatic,1.0,petrol,1498.0,5061.0,1.0,1227000.0,,,,,
ford,ecosport,manual,3.0,diesel,1498.0,23480.0,1.0,887000.0,,,,,
honda,wr-v,manual,3.0,petrol,1199.0,44787.0,1.0,796000.0,,,,,
tata,punch,manual,2.0,petrol,1199.0,450.0,1.0,813000.0,,,,,
tata,nexon,automatic,4.0,diesel,,59866.0,1.0,728000.0,,,,,
mahindra,xuv700,automatic,2.0,diesel,2184.0,62567.0,1.0,2322000.0,,,,,
ford,ecosport,automatic,5.0,petrol,1497.0,58503.0,1.0,766000.0,,,,,
maruti,dzire,manual,6.0,petrol,1197.0,58159.0,1.0,471000.0,,,,,
hyundai,grand,manual,1.0,petrol,1197.0,15568.0,1.0,689000.0,,,,,
tata,tiago,manual,1.0,petrol,1199.0,6676.0,1.0,536000.0,,,,,
hyundai,creta,manual,6.0,petrol,,59085.0,1.0,823000.0,,,,,
maruti,alto,manual,6.0,petrol,998.0,52966.0,1.0,310000.0,,,,,
hyundai,verna,manual,4.0,diesel,1582.0,60592.0,1.0,993000.0,,,,,
maruti,alto,automatic,10.0,petrol,998.0,71297.0,1.0,265000.0,,,,,
honda,amaze,manual,2.0,petrol,1199.0,15935.0,1.0,699000.0,,,,,
kia,seltos,manual,3.0,diesel,1493.0,71040.0,1.0,980000.0,,,,,
hyundai,grand,manual,1.0,petrol,1197.0,2850.0,1.0,710000.0,,,,,
mg,hector,automatic,2.0,petrol,1451.0,26999.0,1.0,1652000.0,,,,,
tata,tigor,manual,1.0,petrol,1199.0,12096.0,1.0,590000.0,,,,,
honda,city,automatic,7.0,petrol,1497.0,65434.0,2.0,787000.0,,,,,
hyundai,verna,manual,4.0,diesel,1493.0,48995.0,1.0,1060000.0,,,,,
ford,freestyle,manual,6.0,petrol,1194.0,66584.0,1.0,495000.0,,,,,
maruti,ciaz,manual,4.0,petrol,1462.0,24961.0,1.0,878000.0,,,,,
maruti,dzire,manual,5.0,petrol,1197.0,33972.0,1.0,514000.0,,,,,
tata,tiago,manual,2.0,cng,1199.0,22874.0,1.0,684000.0,,,,,
maruti,dzire,manual,5.0,petrol,1197.0,109938.0,1.0,584000.0,,,,,
maruti,alto,manual,5.0,petrol,796.0,60452.0,1.0,316000.0,,,,,
maruti,celerio,automatic,8.0,petrol,998.0,32747.0,1.0,394000.0,,,,,
kia,carens,automatic,2.0,diesel,1493.0,34694.0,1.0,1654000.0,,,,,
maruti,ignis,manual,5.0,petrol,1197.0,51244.0,1.0,472000.0,,,,,
renault,triber,manual,1.0,petrol,999.0,6843.0,1.0,636000.0,,,,,
ford,ecosport,automatic,5.0,petrol,1496.0,20751.0,1.0,806000.0,,,,,
tata,punch,automatic,1.0,petrol,1199.0,16393.0,1.0,668000.0,,,,,
honda,city,automatic,7.0,petrol,1497.0,74671.0,1.0,832000.0,,,,,
hyundai,verna,manual,7.0,petrol,1591.0,94020.0,1.0,819000.0,,,,,
mahindra,xuv500,automatic,3.0,diesel,2179.0,25366.0,1.0,1400000.0,,,,,
maruti,s,manual,4.0,cng,998.0,75502.0,1.0,432000.0,,,,,
tata,nexon,manual,2.0,petrol,1199.0,22894.0,1.0,941000.0,,,,,
tata,tiago,manual,4.0,petrol,1199.0,42313.0,2.0,456000.0,,,,,
tata,altroz,manual,4.0,petrol,1199.0,58047.0,1.0,590000.0,,,,,
maruti,ciaz,manual,6.0,petrol,1462.0,76120.0,1.0,721000.0,,,,,
hyundai,xcent,manual,7.0,petrol,1197.0,60964.0,1.0,449000.0,,,,,
tata,tiago,manual,1.0,petrol,1199.0,17297.0,1.0,574000.0,,,,,
renault,triber,manual,4.0,petrol,999.0,34646.0,1.0,594000.0,,,,,
maruti,ciaz,automatic,6.0,petrol,1462.0,45254.0,2.0,687000.0,,,,,
maruti,ciaz,automatic,2.0,petrol,1462.0,24062.0,1.0,1041000.0,,,,,
hyundai,grand,manual,8.0,petrol,1197.0,28221.0,1.0,456000.0,,,,,
maruti,xl6,manual,2.0,petrol,1462.0,43830.0,1.0,1196000.0,,,,,
maruti,wagon,automatic,8.0,petrol,998.0,21218.0,1.0,375000.0,,,,,
hyundai,new,manual,4.0,cng,1086.0,62996.0,1.0,504000.0,,,,,
maruti,xl6,automatic,2.0,petrol,1462.0,40395.0,2.0,1152000.0,,,,,
maruti,baleno,automatic,7.0,petrol,1197.0,42752.0,1.0,567000.0,,,,,
maruti,ciaz,manual,5.0,petrol,1462.0,59733.0,1.0,751000.0,,,,,
maruti,ciaz,manual,7.0,petrol,1373.0,92389.0,1.0,607000.0,,,,,
hyundai,venue,manual,4.0,petrol,998.0,36125.0,1.0,864000.0,,,,,
maruti,ciaz,manual,4.0,petrol,1462.0,26202.0,1.0,825000.0,,,,,
volkswagen,virtus,manual,2.0,petrol,999.0,27653.0,1.0,918000.0,,,,,
honda,city,automatic,8.0,petrol,1497.0,61033.0,2.0,572000.0,,,,,
kia,sonet,manual,1.0,petrol,1197.0,7907.0,1.0,898000.0,,,,,
mg,hector,manual,4.0,petrol,1451.0,26793.0,1.0,1135000.0,,,,,
volkswagen,virtus,automatic,1.0,petrol,999.0,9083.0,1.0,1383000.0,,,,,
tata,tiago,manual,6.0,petrol,1199.0,50015.0,2.0,371000.0,,,,,
nissan,magnite,manual,2.0,petrol,999.0,22517.0,1.0,562000.0,,,,,
skoda,rapid,automatic,7.0,petrol,1598.0,100001.0,2.0,546000.0,,,,,
maruti,swift,manual,1.0,petrol,1197.0,14887.0,1.0,638000.0,,,,,
honda,amaze,manual,4.0,petrol,1199.0,48004.0,2.0,493000.0,,,,,
maruti,ertiga,manual,12.0,petrol,1373.0,52706.0,2.0,330000.0,,,,,
toyota,yaris,manual,4.0,petrol,1496.0,37628.0,1.0,803000.0,,,,,
datsun,go,manual,6.0,cng,1198.0,23055.0,2.0,331000.0,,,,,
maruti,alto,manual,1.0,petrol,998.0,14943.0,1.0,445000.0,,,,,
nissan,magnite,manual,2.0,petrol,999.0,20338.0,1.0,548000.0,,,,,
hyundai,new,automatic,0.0,petrol,,3295.0,1.0,974000.0,,,,,
mahindra,kuv,manual,4.0,petrol,1198.0,19376.0,1.0,474000.0,,,,,
nissan,magnite,manual,2.0,petrol,999.0,31760.0,1.0,556000.0,,,,,
mahindra,xuv700,manual,3.0,petrol,1997.0,37303.0,1.0,1473000.0,,,,,
maruti,baleno,manual,2.0,petrol,1197.0,25782.0,1.0,657000.0,,,,,
hyundai,venue,manual,2.0,petrol,1197.0,25523.0,1.0,909000.0,,,,,
hyundai,creta,manual,2.0,petrol,1497.0,19352.0,1.0,1103000.0,,,,,
